*Recording Started: 2:14:50	17	 0
epp	19676	 1
ret	25518	 2
ocl	31033	 3
r	126935	 0
epp	170425	 1
ret	176444	 2
ocl	182276	 3
r	285255	 0
epp	304805	 1
ret	311182	 2
ocl	316897	 3
r	384827	 0
r	629070	 0
RUG	713633	 4
r	815350	 0
epp	914525	 1
ret	921432	 2
ocl	925692	 3
epp	1109316	 1
ret	1116729	 2
ocl	1120256	 3
epp	1313662	 1
ret	1322240	 2
ocl	1325467	 3
r	1482332	 0
epp	1514522	 1
ret	1521717	 2
ocl	1527341	 3
r	1797129	 0
epp	1821266	 1
ret	1828905	 2
ocl	1838832	 3
r	1973444	 0
r	2029659	 0
epp	2047192	 1
ret	2054836	 2
ocl	2059746	 3
epp	2287856	 1
ret	2296569	 2
ocl	2301430	 3
*Recording Stopped: 4:20:11	2376726,00
